2 4 8
3 9 27
4 16 64
5 25 125
6 36 216
7 49 343
8 64 512
9 81 729
10 1 1
11 2 2
12 5 9
13 10 28
14 17 65
15 26 126
16 37 217
17 50 344
18 65 513
19 82 730
20 4 8
21 5 9
22 8 16
23 13 35
24 20 72
25 29 133
26 40 224
27 53 351
28 68 520
29 85 737
30 9 27
31 10 28
32 13 35
33 18 54
34 25 91
35 34 152
36 45 243
37 58 370
38 73 539
39 90 756
40 16 64
41 17 65
42 20 72
43 25 91
44 32 128
45 41 189
46 52 280
47 65 407
48 80 576
49 97 793
50 25 125
51 26 126
52 29 133
53 34 152
54 41 189
55 50 250
56 61 341
57 74 468
58 89 637
59 106 854
60 36 216
61 37 217
62 40 224
63 45 243
64 52 280
65 61 341
66 72 432
67 85 559
68 100 728
69 117 945
70 49 343
71 50 344
72 53 351
73 58 370
74 65 407
75 74 468
76 85 559
77 98 686
78 113 855
79 130 1072
80 64 512
81 65 513
82 68 520
83 73 539
84 80 576
85 89 637
86 100 728
87 113 855
88 128 1024
89 145 1241
90 81 729
91 82 730
92 85 737
93 90 756
94 97 793
95 106 854
96 117 945
97 130 1072
98 145 1241
99 162 1458
100 1 1
101 2 2
102 5 9
103 10 28
104 17 65
105 26 126
106 37 217
107 50 344
108 65 513
109 82 730
110 2 2
111 3 3
112 6 10
113 11 29
114 18 66
115 27 127
116 38 218
117 51 345
118 66 514
119 83 731
120 5 9
121 6 10
122 9 17
123 14 36
124 21 73
125 30 134
126 41 225
127 54 352
128 69 521
129 86 738
130 10 28
131 11 29
132 14 36
133 19 55
134 26 92
135 35 153
136 46 244
137 59 371
138 74 540
139 91 757
140 17 65
141 18 66
142 21 73
143 26 92
144 33 129
145 42 190
146 53 281
147 66 408
148 81 577
149 98 794
150 26 126
151 27 127
152 30 134
153 35 153
154 42 190
155 51 251
156 62 342
157 75 469
158 90 638
159 107 855
160 37 217
161 38 218
162 41 225
163 46 244
164 53 281
165 62 342
166 73 433
167 86 560
168 101 729
169 118 946
170 50 344
171 51 345
172 54 352
173 59 371
174 66 408
175 75 469
176 86 560
177 99 687
178 114 856
179 131 1073
180 65 513
181 66 514
182 69 521
183 74 540
184 81 577
185 90 638
186 101 729
187 114 856
188 129 1025
189 146 1242
190 82 730
191 83 731
192 86 738
193 91 757
194 98 794
195 107 855
196 118 946
197 131 1073
198 146 1242
199 163 1459
200 4 8
201 5 9
202 8 16
203 13 35
204 20 72
205 29 133
206 40 224
207 53 351
208 68 520
209 85 737
210 5 9
211 6 10
212 9 17
213 14 36
214 21 73
215 30 134
216 41 225
217 54 352
218 69 521
219 86 738
220 8 16
221 9 17
222 12 24
223 17 43
224 24 80
225 33 141
226 44 232
227 57 359
228 72 528
229 89 745
230 13 35
231 14 36
232 17 43
233 22 62
234 29 99
235 38 160
236 49 251
237 62 378
238 77 547
239 94 764
240 20 72
241 21 73
242 24 80
243 29 99
244 36 136
245 45 197
246 56 288
247 69 415
248 84 584
249 101 801
250 29 133
251 30 134
252 33 141
253 38 160
254 45 197
255 54 258
256 65 349
257 78 476
258 93 645
259 110 862
260 40 224
261 41 225
262 44 232
263 49 251
264 56 288
265 65 349
266 76 440
267 89 567
268 104 736
269 121 953
270 53 351
271 54 352
272 57 359
273 62 378
274 69 415
275 78 476
276 89 567
277 102 694
278 117 863
279 134 1080
280 68 520
281 69 521
282 72 528
283 77 547
284 84 584
285 93 645
286 104 736
287 117 863
288 132 1032
289 149 1249
290 85 737
291 86 738
292 89 745
293 94 764
294 101 801
295 110 862
296 121 953
297 134 1080
298 149 1249
299 166 1466
300 9 27
301 10 28
302 13 35
303 18 54
304 25 91
305 34 152
306 45 243
307 58 370
308 73 539
309 90 756
310 10 28
311 11 29
312 14 36
313 19 55
314 26 92
315 35 153
316 46 244
317 59 371
318 74 540
319 91 757
320 13 35
321 14 36
322 17 43
323 22 62
324 29 99
325 38 160
326 49 251
327 62 378
328 77 547
329 94 764
330 18 54
331 19 55
332 22 62
333 27 81
334 34 118
335 43 179
336 54 270
337 67 397
338 82 566
339 99 783
340 25 91
341 26 92
342 29 99
343 34 118
344 41 155
345 50 216
346 61 307
347 74 434
348 89 603
349 106 820
350 34 152
351 35 153
352 38 160
353 43 179
354 50 216
355 59 277
356 70 368
357 83 495
358 98 664
359 115 881
360 45 243
361 46 244
362 49 251
363 54 270
364 61 307
365 70 368
366 81 459
367 94 586
368 109 755
369 126 972
370 58 370
371 59 371
372 62 378
373 67 397
374 74 434
375 83 495
376 94 586
377 107 713
378 122 882
379 139 1099
380 73 539
381 74 540
382 77 547
383 82 566
384 89 603
385 98 664
386 109 755
387 122 882
388 137 1051
389 154 1268
390 90 756
391 91 757
392 94 764
393 99 783
394 106 820
395 115 881
396 126 972
397 139 1099
398 154 1268
399 171 1485
400 16 64
401 17 65
402 20 72
403 25 91
404 32 128
405 41 189
406 52 280
407 65 407
408 80 576
409 97 793
410 17 65
411 18 66
412 21 73
413 26 92
414 33 129
415 42 190
416 53 281
417 66 408
418 81 577
419 98 794
420 20 72
421 21 73
422 24 80
423 29 99
424 36 136
425 45 197
426 56 288
427 69 415
428 84 584
429 101 801
430 25 91
431 26 92
432 29 99
433 34 118
434 41 155
435 50 216
436 61 307
437 74 434
438 89 603
439 106 820
440 32 128
441 33 129
442 36 136
443 41 155
444 48 192
445 57 253
446 68 344
447 81 471
448 96 640
449 113 857
450 41 189
451 42 190
452 45 197
453 50 216
454 57 253
455 66 314
456 77 405
457 90 532
458 105 701
459 122 918
460 52 280
461 53 281
462 56 288
463 61 307
464 68 344
465 77 405
466 88 496
467 101 623
468 116 792
469 133 1009
470 65 407
471 66 408
472 69 415
473 74 434
474 81 471
475 90 532
476 101 623
477 114 750
478 129 919
479 146 1136
480 80 576
481 81 577
482 84 584
483 89 603
484 96 640
485 105 701
486 116 792
487 129 919
488 144 1088
489 161 1305
490 97 793
491 98 794
492 101 801
493 106 820
494 113 857
495 122 918
496 133 1009
497 146 1136
498 161 1305
499 178 1522
500 25 125
501 26 126
502 29 133
503 34 152
504 41 189
505 50 250
506 61 341
507 74 468
508 89 637
509 106 854
510 26 126
511 27 127
512 30 134
513 35 153
514 42 190
515 51 251
516 62 342
517 75 469
518 90 638
519 107 855
520 29 133
521 30 134
522 33 141
523 38 160
524 45 197
525 54 258
526 65 349
527 78 476
528 93 645
529 110 862
530 34 152
531 35 153
532 38 160
533 43 179
534 50 216
535 59 277
536 70 368
537 83 495
538 98 664
539 115 881
540 41 189
541 42 190
542 45 197
543 50 216
544 57 253
545 66 314
546 77 405
547 90 532
548 105 701
549 122 918
550 50 250
551 51 251
552 54 258
553 59 277
554 66 314
555 75 375
556 86 466
557 99 593
558 114 762
559 131 979
560 61 341
561 62 342
562 65 349
563 70 368
564 77 405
565 86 466
566 97 557
567 110 684
568 125 853
569 142 1070
570 74 468
571 75 469
572 78 476
573 83 495
574 90 532
575 99 593
576 110 684
577 123 811
578 138 980
579 155 1197
580 89 637
581 90 638
582 93 645
583 98 664
584 105 701
585 114 762
586 125 853
587 138 980
588 153 1149
589 170 1366
590 106 854
591 107 855
592 110 862
593 115 881
594 122 918
595 131 979
596 142 1070
597 155 1197
598 170 1366
599 187 1583
600 36 216
601 37 217
602 40 224
603 45 243
604 52 280
605 61 341
606 72 432
607 85 559
608 100 728
609 117 945
610 37 217
611 38 218
612 41 225
613 46 244
614 53 281
615 62 342
616 73 433
617 86 560
618 101 729
619 118 946
620 40 224
621 41 225
622 44 232
623 49 251
624 56 288
625 65 349
626 76 440
627 89 567
628 104 736
629 121 953
630 45 243
631 46 244
632 49 251
633 54 270
634 61 307
635 70 368
636 81 459
637 94 586
638 109 755
639 126 972
640 52 280
641 53 281
642 56 288
643 61 307
644 68 344
645 77 405
646 88 496
647 101 623
648 116 792
649 133 1009
650 61 341
651 62 342
652 65 349
653 70 368
654 77 405
655 86 466
656 97 557
657 110 684
658 125 853
659 142 1070
660 72 432
661 73 433
662 76 440
663 81 459
664 88 496
665 97 557
666 108 648
667 121 775
668 136 944
669 153 1161
670 85 559
671 86 560
672 89 567
673 94 586
674 101 623
675 110 684
676 121 775
677 134 902
678 149 1071
679 166 1288
680 100 728
681 101 729
682 104 736
683 109 755
684 116 792
685 125 853
686 136 944
687 149 1071
688 164 1240
689 181 1457
690 117 945
691 118 946
692 121 953
693 126 972
694 133 1009
695 142 1070
696 153 1161
697 166 1288
698 181 1457
699 198 1674
700 49 343
701 50 344
702 53 351
703 58 370
704 65 407
705 74 468
706 85 559
707 98 686
708 113 855
709 130 1072
710 50 344
711 51 345
712 54 352
713 59 371
714 66 408
715 75 469
716 86 560
717 99 687
718 114 856
719 131 1073
720 53 351
721 54 352
722 57 359
723 62 378
724 69 415
725 78 476
726 89 567
727 102 694
728 117 863
729 134 1080
730 58 370
731 59 371
732 62 378
733 67 397
734 74 434
735 83 495
736 94 586
737 107 713
738 122 882
739 139 1099
740 65 407
741 66 408
742 69 415
743 74 434
744 81 471
745 90 532
746 101 623
747 114 750
748 129 919
749 146 1136
750 74 468
751 75 469
752 78 476
753 83 495
754 90 532
755 99 593
756 110 684
757 123 811
758 138 980
759 155 1197
760 85 559
761 86 560
762 89 567
763 94 586
764 101 623
765 110 684
766 121 775
767 134 902
768 149 1071
769 166 1288
770 98 686
771 99 687
772 102 694
773 107 713
774 114 750
775 123 811
776 134 902
777 147 1029
778 162 1198
779 179 1415
780 113 855
781 114 856
782 117 863
783 122 882
784 129 919
785 138 980
786 149 1071
787 162 1198
788 177 1367
789 194 1584
790 130 1072
791 131 1073
792 134 1080
793 139 1099
794 146 1136
795 155 1197
796 166 1288
797 179 1415
798 194 1584
799 211 1801
800 64 512
801 65 513
802 68 520
803 73 539
804 80 576
805 89 637
806 100 728
807 113 855
808 128 1024
809 145 1241
810 65 513
811 66 514
812 69 521
813 74 540
814 81 577
815 90 638
816 101 729
817 114 856
818 129 1025
819 146 1242
820 68 520
821 69 521
822 72 528
823 77 547
824 84 584
825 93 645
826 104 736
827 117 863
828 132 1032
829 149 1249
830 73 539
831 74 540
832 77 547
833 82 566
834 89 603
835 98 664
836 109 755
837 122 882
838 137 1051
839 154 1268
840 80 576
841 81 577
842 84 584
843 89 603
844 96 640
845 105 701
846 116 792
847 129 919
848 144 1088
849 161 1305
850 89 637
851 90 638
852 93 645
853 98 664
854 105 701
855 114 762
856 125 853
857 138 980
858 153 1149
859 170 1366
860 100 728
861 101 729
862 104 736
863 109 755
864 116 792
865 125 853
866 136 944
867 149 1071
868 164 1240
869 181 1457
870 113 855
871 114 856
872 117 863
873 122 882
874 129 919
875 138 980
876 149 1071
877 162 1198
878 177 1367
879 194 1584
880 128 1024
881 129 1025
882 132 1032
883 137 1051
884 144 1088
885 153 1149
886 164 1240
887 177 1367
888 192 1536
889 209 1753
890 145 1241
891 146 1242
892 149 1249
893 154 1268
894 161 1305
895 170 1366
896 181 1457
897 194 1584
898 209 1753
899 226 1970
900 81 729
901 82 730
902 85 737
903 90 756
904 97 793
905 106 854
906 117 945
907 130 1072
908 145 1241
909 162 1458
910 82 730
911 83 731
912 86 738
913 91 757
914 98 794
915 107 855
916 118 946
917 131 1073
918 146 1242
919 163 1459
920 85 737
921 86 738
922 89 745
923 94 764
924 101 801
925 110 862
926 121 953
927 134 1080
928 149 1249
929 166 1466
930 90 756
931 91 757
932 94 764
933 99 783
934 106 820
935 115 881
936 126 972
937 139 1099
938 154 1268
939 171 1485
940 97 793
941 98 794
942 101 801
943 106 820
944 113 857
945 122 918
946 133 1009
947 146 1136
948 161 1305
949 178 1522
950 106 854
951 107 855
952 110 862
953 115 881
954 122 918
955 131 979
956 142 1070
957 155 1197
958 170 1366
959 187 1583
960 117 945
961 118 946
962 121 953
963 126 972
964 133 1009
965 142 1070
966 153 1161
967 166 1288
968 181 1457
969 198 1674
970 130 1072
971 131 1073
972 134 1080
973 139 1099
